pokemon_species,🇬🇧 (en),🇫🇷 (fr),🇪🇸 (es),🇩🇪 (de),🇮🇹 (it),🇯🇵 (ja),🇰🇷 (ko),🇨🇳 (zh-Hans),🇷🇺 (ru),🇲🇽 (es-MX),🇵🇹 (pt),🇳🇱 (nl),🇹🇷 (tr),🇸🇦 (ar),🇹🇭 (th),🇻🇳 (vi),🇵🇱 (pl),🇸🇪 (sv),🇩🇰 (da),🇳🇴 (no),🇫🇮 (fi),🇬🇷 (el),🇮🇩 (id),🇲🇾 (ms),🇵🇭 (fil),🇭🇺 (hu),🇨🇿 (cs),🇸🇰 (sk),🇷🇴 (ro),🇺🇦 (uk),🇭🇷 (hr),🇧🇬 (bg),🇪🇪 (et),🇱🇻 (lv),🇱🇹 (lt),🇸🇮 (sl),🇲🇹 (mt),🇦🇱 (sq),🇲🇰 (mk),🇧🇦 (bs),🇷🇸 (sr),🇨🇾 (cy),🇮🇪 (ga),🏴 (gd),🇰🇾 (kw),🇧🇷 (br),🇿🇦 (af),🇿🇦 (xh),🇿🇦 (zu),🇿🇦 (tn),🇿🇦 (st),🇿🇦 (ss),🇿🇦 (nr),🇿🇦 (nso),🇿🇦 (ts),🇿🇦 (ve),🇺🇬 (xog),🇺🇬 (lg),🇬🇭 (ak),🇬🇭 (tw),🇧🇫 (bm),🇲🇲 (my),🇰🇭 (km),🇱🇦 (lo),🇪🇹 (am),🇪🇹 (ti),🇪🇹 (om),🇸🇴 (so),🇰🇪 (sw),🇷🇼 (rw),🇳🇬 (yo),🇳🇬 (ig),🇳🇬 (ha),🇧🇩 (bn),🇮🇳 (pa),🇮🇳 (gu),🇮🇳 (or),🇮🇳 (ta),🇮🇳 (te),🇮🇳 (kn),🇮🇳 (ml),🇱🇰 (si),🇳🇵 (ne),🇧🇹 (dz),🇧🇾 (be),🇰🇿 (kk),🇺🇿 (uz),🇰🇬 (ky)
turtonator,"Turtonator, turtonator",Boumata,Turtonator,Tortunator,Turtonator,バクガメス,폭거북스,爆焰龟兽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
togedemaru,"Togedemaru, togedemaru, togedemaru-totem",Togedemaru,Togedemaru,Togedemaru,Togedemaru,トゲデマル,토게데마루,托戈德玛尔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimikyu,"Mimikyu, mimikyu-busted, mimikyu-disguised, mimikyu-totem-busted, mimikyu-totem-disguised",Mimiqui,Mimikyu,Mimigma,Mimikyu,ミミッキュ,따라큐,谜拟丘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruxish,"Bruxish, bruxish",Denticrisse,Bruxish,Knirfish,Bruxish,ハギギシリ,치갈기,磨牙彩皮鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drampa,"Drampa, drampa",Draïeul,Drampa,Sen-Long,Drampa,ジジーロン,할비롱,老翁龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhelmise,"Dhelmise, dhelmise",Sinistrail,Dhelmise,Moruda,Dhelmise,ダダリン,타타륜,破破舵轮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jangmo-o,"Jangmo-o, jangmo-o",Bébécaille,Jangmo-o,Miniras,Jangmo-o,ジャラコ,짜랑꼬,心鳞宝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hakamo-o,"Hakamo-o, hakamo-o",Écaïd,Hakamo-o,Mediras,Hakamo-o,ジャランゴ,짜랑고우,鳞甲龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kommo-o,"Kommo-o, kommo-o, kommo-o-totem",Ékaïser,Kommo-o,Grandiras,Kommo-o,ジャラランガ,짜랑고우거,杖尾鳞甲龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapu-koko,"Tapu Koko, tapu-koko",Tokorico,Tapu Koko,Kapu-Riki,Tapu Koko,カプ・コケコ,카푸꼬꼬꼭,卡璞・鸣鸣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapu-lele,"Tapu Lele, tapu-lele",Tokopiyon,Tapu Lele,Kapu-Fala,Tapu Lele,カプ・テテフ,카푸나비나,卡璞・蝶蝶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapu-bulu,"Tapu Bulu, tapu-bulu",Tokotoro,Tapu Bulu,Kapu-Toro,Tapu Bulu,カプ・ブルル,카푸브루루,卡璞・哞哞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapu-fini,"Tapu Fini, tapu-fini",Tokopisco,Tapu Fini,Kapu-Kime,Tapu Fini,カプ・レヒレ,카푸느지느,卡璞・鳍鳍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosmog,"Cosmog, cosmog",Cosmog,Cosmog,Cosmog,Cosmog,コスモッグ,코스모그,科斯莫古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosmoem,"Cosmoem, cosmoem",Cosmovum,Cosmoem,Cosmovum,Cosmoem,コスモウム,코스모움,科斯莫姆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solgaleo,"Solgaleo, solgaleo",Solgaleo,Solgaleo,Solgaleo,Solgaleo,ソルガレオ,솔가레오,索尔迦雷欧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunala,"Lunala, lunala",Lunala,Lunala,Lunala,Lunala,ルナアーラ,루나아라,露奈雅拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nihilego,"Nihilego, nihilego",Zéroïd,Nihilego,Anego,Nihilego,ウツロイド,텅비드,虚吾伊德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buzzwole,"Buzzwole, buzzwole",Mouscoto,Buzzwole,Masskito,Buzzwole,マッシブーン,매시붕,爆肌蚊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pheromosa,"Pheromosa, pheromosa",Cancrelove,Pheromosa,Schabelle,Pheromosa,フェローチェ,페로코체,费洛美螂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xurkitree,"Xurkitree, xurkitree",Câblifère,Xurkitree,Voltriant,Xurkitree,デンジュモク,전수목,电束木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celesteela,"Celesteela, celesteela",Bamboiselle,Celesteela,Kaguron,Celesteela,テッカグヤ,철화구야,铁火辉夜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kartana,"Kartana, kartana",Katagami,Kartana,Katagami,Kartana,カミツルギ,종이신도,纸御剑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guzzlord,"Guzzlord, guzzlord",Engloutyran,Guzzlord,Schlingking,Guzzlord,アクジキング,악식킹,恶食大王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
necrozma,"Necrozma, necrozma, necrozma-dawn, necrozma-dusk, necrozma-ultra",Necrozma,Necrozma,Necrozma,Necrozma,ネクロズマ,네크로즈마,奈克洛兹玛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magearna,"Magearna, magearna, magearna-original",Magearna,Magearna,Magearna,Magearna,マギアナ,마기아나,玛机雅娜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marshadow,"Marshadow, marshadow",Marshadow,Marshadow,Marshadow,Marshadow,マーシャドー,마샤도,玛夏多,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poipole,"Poipole, poipole",Vémini,Poipole,Venicro,Poipole,ベベノム,베베놈,毒贝比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naganadel,"Naganadel, naganadel",Mandrillon,Naganadel,Agoyon,Naganadel,アーゴヨン,아고용,四颚针龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stakataka,"Stakataka, stakataka",Ama-Ama,Stakataka,Muramura,Stakataka,ツンデツンデ,차곡차곡,垒磊石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacephalon,"Blacephalon, blacephalon",Pierroteknik,Blacephalon,Kopplosio,Blacephalon,ズガドーン,두파팡,砰头小丑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeraora,"Zeraora, zeraora",Zeraora,Zeraora,Zeraora,Zeraora,ゼラオラ,제라오라,捷拉奥拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meltan,"Meltan, meltan",Meltan,Meltan,Meltan,Meltan,メルタン,멜탄,美录坦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
melmetal,"Melmetal, melmetal, melmetal-gmax",Melmetal,Melmetal,Melmetal,Melmetal,メルメタル,멜메탈,美录梅塔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grookey,"Grookey, grookey",Ouistempo,Grookey,Chimpep,Grookey,サルノリ,흥나숭,敲音猴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thwackey,"Thwackey, thwackey",Badabouin,Thwackey,Chimstix,Thwackey,バチンキー,채키몽,啪咚猴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rillaboom,"Rillaboom, rillaboom, rillaboom-gmax",Gorythmic,Rillaboom,Gortrom,Rillaboom,ゴリランダー,고릴타,轰擂金刚猩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scorbunny,"Scorbunny, scorbunny",Flambino,Scorbunny,Hopplo,Scorbunny,ヒバニー,염버니,炎兔儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raboot,"Raboot, raboot",Lapyro,Raboot,Kickerlo,Raboot,ラビフット,래비풋,腾蹴小将,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinderace,"Cinderace, cinderace, cinderace-gmax",Pyrobut,Cinderace,Liberlo,Cinderace,エースバーン,에이스번,闪焰王牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sobble,"Sobble, sobble",Larméléon,Sobble,Memmeon,Sobble,メッソン,울머기,泪眼蜥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drizzile,"Drizzile, drizzile",Arrozard,Drizzile,Phlegleon,Drizzile,ジメレオン,누겔레온,变涩蜥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inteleon,"Inteleon, inteleon, inteleon-gmax",Lézargus,Inteleon,Intelleon,Inteleon,インテレオン,인텔리레온,千面避役,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skwovet,"Skwovet, skwovet",Rongourmand,Skwovet,Raffel,Skwovet,ホシガリス,탐리스,贪心栗鼠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greedent,"Greedent, greedent",Rongrigou,Greedent,Schlaraffel,Greedent,ヨクバリス,요씽리스,藏饱栗鼠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rookidee,"Rookidee, rookidee",Minisange,Rookidee,Meikro,Rookidee,ココガラ,파라꼬,稚山雀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corvisquire,"Corvisquire, corvisquire",Bleuseille,Corvisquire,Kranoviz,Corvisquire,アオガラス,파크로우,蓝鸦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corviknight,"Corviknight, corviknight, corviknight-gmax",Corvaillus,Corviknight,Krarmor,Corviknight,アーマーガア,아머까오,钢铠鸦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blipbug,"Blipbug, blipbug",Larvadar,Blipbug,Sensect,Blipbug,サッチムシ,두루지벌레,索侦虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dottler,"Dottler, dottler",Coléodôme,Dottler,Keradar,Dottler,レドームシ,레돔벌레,天罩虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbeetle,"Orbeetle, orbeetle, orbeetle-gmax",Astronelle,Orbeetle,Maritellit,Orbeetle,イオルブ,이올브,以欧路普,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nickit,"Nickit, nickit",Goupilou,Nickit,Kleptifux,Nickit,クスネ,훔처우,狡小狐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thievul,"Thievul, thievul",Roublenard,Thievul,Gaunux,Thievul,フォクスライ,폭슬라이,猾大狐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gossifleur,"Gossifleur, gossifleur",Tournicoton,Gossifleur,Cottini,Gossifleur,ヒメンカ,꼬모카,幼棉棉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eldegoss,"Eldegoss, eldegoss",Blancoton,Eldegoss,Cottomi,Eldegoss,ワタシラガ,백솜모카,白蓬蓬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wooloo,"Wooloo, wooloo",Moumouton,Wooloo,Wolly,Wooloo,ウールー,우르,毛辫羊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dubwool,"Dubwool, dubwool",Moumouflon,Dubwool,Zwollock,Dubwool,バイウールー,배우르,毛毛角羊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chewtle,"Chewtle, chewtle",Khélocrok,Chewtle,Kamehaps,Chewtle,カムカメ,깨물부기,咬咬龟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drednaw,"Drednaw, drednaw, drednaw-gmax",Torgamord,Drednaw,Kamalm,Drednaw,カジリガメ,갈가부기,暴噬龟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yamper,"Yamper, yamper",Voltoutou,Yamper,Voldi,Yamper,ワンパチ,멍파치,来电汪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boltund,"Boltund, boltund",Fulgudog,Boltund,Bellektro,Boltund,パルスワン,펄스멍,逐电犬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolycoly,"Rolycoly, rolycoly",Charbi,Rolycoly,Klonkett,Rolycoly,タンドン,탄동,小炭仔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carkol,"Carkol, carkol",Wagomine,Carkol,Wagong,Carkol,トロッゴン,탄차곤,大炭车,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coalossal,"Coalossal, coalossal, coalossal-gmax",Monthracite,Coalossal,Montecarbo,Coalossal,セキタンザン,석탄산,巨炭山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applin,"Applin, applin",Verpom,Applin,Knapfel,Applin,カジッチュ,과사삭벌레,啃果虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flapple,"Flapple, flapple, flapple-gmax",Pomdrapi,Flapple,Drapfel,Flapple,アップリュー,애프룡,苹裹龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appletun,"Appletun, appletun, appletun-gmax",Dratatin,Appletun,Schlapfel,Appletun,タルップル,단지래플,丰蜜龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silicobra,"Silicobra, silicobra",Dunaja,Silicobra,Salanga,Silicobra,スナヘビ,모래뱀,沙包蛇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandaconda,"Sandaconda, sandaconda, sandaconda-gmax",Dunaconda,Sandaconda,Sanaconda,Sandaconda,サダイジャ,사다이사,沙螺蟒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cramorant,"Cramorant, cramorant, cramorant-gorging, cramorant-gulping",Nigosier,Cramorant,Urgl,Cramorant,ウッウ,윽우지,古月鸟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrokuda,"Arrokuda, arrokuda",Embrochet,Arrokuda,Pikuda,Arrokuda,サシカマス,찌로꼬치,刺梭鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barraskewda,"Barraskewda, barraskewda",Hastacuda,Barraskewda,Barrakiefa,Barraskewda,カマスジョー,꼬치조,戽斗尖梭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toxel,"Toxel, toxel",Toxizap,Toxel,Toxel,Toxel,エレズン,일레즌,电音婴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toxtricity,"Toxtricity, toxtricity-amped, toxtricity-amped-gmax, toxtricity-low-key, toxtricity-low-key-gmax",Salarsen,Toxtricity,Riffex,Toxtricity,ストリンダー,스트린더,颤弦蝾螈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sizzlipede,"Sizzlipede, sizzlipede",Grillepattes,Sizzlipede,Thermopod,Sizzlipede,ヤクデ,태우지네,烧火蚣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
centiskorch,"Centiskorch, centiskorch, centiskorch-gmax",Scolocendre,Centiskorch,Infernopod,Centiskorch,マルヤクデ,다태우지네,焚焰蚣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobbopus,"Clobbopus, clobbopus",Poulpaf,Clobbopus,Klopptopus,Clobbopus,タタッコ,때때무노,拳拳蛸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapploct,"Grapploct, grapploct",Krakos,Grapploct,Kaocto,Grapploct,オトスパス,케오퍼스,八爪武师,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinistea,"Sinistea, sinistea",Théffroi,Sinistea,Fatalitee,Sinistea,ヤバチャ,데인차,来悲茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polteageist,"Polteageist, polteageist",Polthégeist,Polteageist,Mortipot,Polteageist,ポットデス,포트데스,怖思壶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatenna,"Hatenna, hatenna",Bibichut,Hatenna,Brimova,Hatenna,ミブリム,몸지브림,迷布莉姆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hattrem,"Hattrem, hattrem",Chapotus,Hattrem,Brimano,Hattrem,テブリム,손지브림,提布莉姆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatterene,"Hatterene, hatterene, hatterene-gmax",Sorcilence,Hatterene,Silembrim,Hatterene,ブリムオン,브리무음,布莉姆温,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impidimp,"Impidimp, impidimp",Grimalin,Impidimp,Bähmon,Impidimp,ベロバー,메롱꿍,捣蛋小妖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morgrem,"Morgrem, morgrem",Fourbelin,Morgrem,Pelzebub,Morgrem,ギモー,쏘겨모,诈唬魔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grimmsnarl,"Grimmsnarl, grimmsnarl, grimmsnarl-gmax",Angoliath,Grimmsnarl,Olangaar,Grimmsnarl,オーロンゲ,오롱털,长毛巨魔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstagoon,"Obstagoon, obstagoon",Ixon,Obstagoon,Barrikadax,Obstagoon,タチフサグマ,가로막구리,堵拦熊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perrserker,"Perrserker, perrserker",Berserkatt,Perrserker,Mauzinger,Perrserker,ニャイキング,나이킹,喵头目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cursola,"Cursola, cursola",Corayôme,Cursola,Gorgasonn,Cursola,サニゴーン,산호르곤,魔灵珊瑚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
